name,appearance,atomic_mass,boil,category,density,discovered_by,melt,molar_heat,named_by,number,period,group,phase,source,bohr_model_image,bohr_model_3d,spectral_img,summary,symbol,xpos,ypos,wxpos,wypos,shells,electron_configuration,electron_configuration_semantic,electron_affinity,electronegativity_pauling,ionization_energies,cpk-hex,block,image.title,image.url,image.attribution
Sodium,silvery white metallic,22.989769282,1156.09,alkali metal,0.968,Humphry Davy,370.944,28.23,,11,3,1,Solid,https://en.wikipedia.org/wiki/Sodium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_011_sodium/element_011_sodium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_011_sodium/element_011_sodium.glb,https://en.wikipedia.org/wiki/File:Sodium_Spectra.jpg,"Sodium /ˈsoʊdiəm/ is a chemical element with symbol Na (from Ancient Greek Νάτριο) and atomic number 11. It is a soft, silver-white, highly reactive metal. In the Periodic table it is in column 1 (alkali metals), and shares with the other six elements in that column that it has a single electron in its outer shell, which it readily donates, creating a positively charged atom - a cation.",Na,1,3,1,3,"[2, 8, 1]",1s2 2s2 2p6 3s1,[Ne] 3s1,52.867,0.93,"[495.8, 4562, 6910.3, 9543, 13354, 16613, 20117, 25496, 28932, 141362, 159076]",ab5cf2,s,Na (Sodium) Metal,https://upload.wikimedia.org/wikipedia/commons/2/27/Na_%28Sodium%29.jpg,"The original uploader was Dnn87 at English Wikipedia., CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Magnesium,shiny grey solid,24.305,1363.0,alkaline earth metal,1.738,Joseph Black,923.0,24.869,,12,3,2,Solid,https://en.wikipedia.org/wiki/Magnesium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_012_magnesium/element_012_magnesium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_012_magnesium/element_012_magnesium.glb,https://en.wikipedia.org/wiki/File:Magnesium_Spectra.jpg,"Magnesium is a chemical element with symbol Mg and atomic number 12. It is a shiny gray solid which bears a close physical resemblance to the other five elements in the second column (Group 2, or alkaline earth metals) of the periodic table:they each have the same electron configuration in their outer electron shell producing a similar crystal structure. Magnesium is the ninth most abundant element in the universe.",Mg,2,3,2,3,"[2, 8, 2]",1s2 2s2 2p6 3s2,[Ne] 3s2,-40.0,1.31,"[737.7, 1450.7, 7732.7, 10542.5, 13630, 18020, 21711, 25661, 31653, 35458, 169988, 189368]",8aff00,s,Magnesium crystals,https://upload.wikimedia.org/wikipedia/commons/3/3f/Magnesium_crystals.jpg,"Warut Roonguthai, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Aluminium,silvery gray metallic,26.98153857,2743.0,post-transition metal,2.7,,933.47,24.2,Humphry Davy,13,3,13,Solid,https://en.wikipedia.org/wiki/Aluminium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_013_aluminum/element_013_aluminum_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_013_aluminum/element_013_aluminum.glb,,"Aluminium (or aluminum; see different endings) is a chemical element in the boron group with symbol Al and atomic number 13. It is a silvery-white, soft, nonmagnetic, ductile metal. Aluminium is the third most abundant element (after oxygen and silicon), and the most abundant metal, in the Earth's crust.",Al,13,3,27,3,"[2, 8, 3]",1s2 2s2 2p6 3s2 3p1,[Ne] 3s2 3p1,41.762,1.61,"[577.5, 1816.7, 2744.8, 11577, 14842, 18379, 23326, 27465, 31853, 38473, 42647, 201266, 222316]",bfa6a6,p,Pure aluminium foil. Original size in cm: 5 x 5,https://upload.wikimedia.org/wikipedia/commons/3/3e/Aluminium.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/aluminium.php "
Silicon,"crystalline, reflective with bluish-tinged faces",28.085,3538.0,metalloid,2.329,Jöns Jacob Berzelius,1687.0,19.789,Thomas Thomson (chemist),14,3,14,Solid,https://en.wikipedia.org/wiki/Silicon,https://storage.googleapis.com/search-ar-edu/periodic-table/element_014_silicon/element_014_silicon_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_014_silicon/element_014_silicon.glb,https://en.wikipedia.org/wiki/File:Silicon_Spectra.jpg,"Silicon is a chemical element with symbol Si and atomic number 14. It is a tetravalent metalloid, more reactive than germanium, the metalloid directly below it in the table. Controversy about silicon's character dates to its discovery.",Si,14,3,28,3,"[2, 8, 4]",1s2 2s2 2p6 3s2 3p2,[Ne] 3s2 3p2,134.0684,1.9,"[786.5, 1577.1, 3231.6, 4355.5, 16091, 19805, 23780, 29287, 33878, 38726, 45962, 50502, 235196, 257923]",f0c8a0,p,"Chunk of Ultrapure Silicon, 2 x 2 cm",https://upload.wikimedia.org/wikipedia/commons/2/2c/Silicon.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/silicon.php"
Phosphorus,"colourless, waxy white, yellow, scarlet, red, violet, black",30.9737619985,,polyatomic nonmetal,1.823,Hennig Brand,,23.824,,15,3,15,Solid,https://en.wikipedia.org/wiki/Phosphorus,https://storage.googleapis.com/search-ar-edu/periodic-table/element_015_phosphorus/element_015_phosphorus_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_015_phosphorus/element_015_phosphorus.glb,,"Phosphorus is a chemical element with symbol P and atomic number 15. As an element, phosphorus exists in two major forms—white phosphorus and red phosphorus—but due to its high reactivity, phosphorus is never found as a free element on Earth. Instead phosphorus-containing minerals are almost always present in their maximally oxidised state, as inorganic phosphate rocks.",P,15,3,29,3,"[2, 8, 5]",1s2 2s2 2p6 3s2 3p3,[Ne] 3s2 3p3,72.037,2.19,"[1011.8, 1907, 2914.1, 4963.6, 6273.9, 21267, 25431, 29872, 35905, 40950, 46261, 54110, 59024, 271791, 296195]",ff8000,p,Purple Phosphorus,https://upload.wikimedia.org/wikipedia/commons/6/6d/Phosphorus-purple.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/phosphorus.php"
Sulfur,lemon yellow sintered microcrystals,32.06,717.8,polyatomic nonmetal,2.07,Ancient china,388.36,22.75,,16,3,16,Solid,https://en.wikipedia.org/wiki/Sulfur,https://storage.googleapis.com/search-ar-edu/periodic-table/element_016_sulfur/element_016_sulfur_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_016_sulfur/element_016_sulfur.glb,https://en.wikipedia.org/wiki/File:Sulfur_Spectrum.jpg,"Sulfur or sulphur (see spelling differences) is a chemical element with symbol S and atomic number 16. It is an abundant, multivalent non-metal. Under normal conditions, sulfur atoms form cyclic octatomic molecules with chemical formula S8.",S,16,3,30,3,"[2, 8, 6]",1s2 2s2 2p6 3s2 3p4,[Ne] 3s2 3p4,200.4101,2.58,"[999.6, 2252, 3357, 4556, 7004.3, 8495.8, 27107, 31719, 36621, 43177, 48710, 54460, 62930, 68216, 311048, 337138]",ffff30,p,Native Sulfur From Russia,https://upload.wikimedia.org/wikipedia/commons/2/23/Native_sulfur_%28Vodinskoe_Deposit%3B_quarry_near_Samara%2C_Russia%29_9.jpg,"James St. John, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Chlorine,pale yellow-green gas,35.45,239.11,diatomic nonmetal,3.2,Carl Wilhelm Scheele,171.6,,,17,3,17,Gas,https://en.wikipedia.org/wiki/Chlorine,https://storage.googleapis.com/search-ar-edu/periodic-table/element_017_chlorine/element_017_chlorine_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_017_chlorine/element_017_chlorine.glb,https://en.wikipedia.org/wiki/File:Chlorine_spectrum_visible.png,Chlorine is a chemical element with symbol Cl and atomic number 17. It also has a relative atomic mass of 35.5. Chlorine is in the halogen group (17) and is the second lightest halogen following fluorine.,Cl,17,3,31,3,"[2, 8, 7]",1s2 2s2 2p6 3s2 3p5,[Ne] 3s2 3p5,348.575,3.16,"[1251.2, 2298, 3822, 5158.6, 6542, 9362, 11018, 33604, 38600, 43961, 51068, 57119, 63363, 72341, 78095, 352994, 380760]",1ff01f,p,A Sample of Chlorine,https://upload.wikimedia.org/wikipedia/commons/9/9a/Chlorine-sample-flip.jpg,"Benjah-bmm27, Public domain, via Wikimedia Commons"
Argon,colorless gas exhibiting a lilac/violet glow when placed in a high voltage electric field,39.9481,87.302,noble gas,1.784,Lord Rayleigh,83.81,,,18,3,18,Gas,https://en.wikipedia.org/wiki/Argon,https://storage.googleapis.com/search-ar-edu/periodic-table/element_018_argon/element_018_argon_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_018_argon/element_018_argon.glb,https://en.wikipedia.org/wiki/File:Argon_Spectrum.png,"Argon is a chemical element with symbol Ar and atomic number 18. It is in group 18 of the periodic table and is a noble gas. Argon is the third most common gas in the Earth's atmosphere, at 0.934% (9,340 ppmv), making it over twice as abundant as the next most common atmospheric gas, water vapor (which averages about 4000 ppmv, but varies greatly), and 23 times as abundant as the next most common non-condensing atmospheric gas, carbon dioxide (400 ppmv), and more than 500 times as abundant as the next most common noble gas, neon (18 ppmv).",Ar,18,3,32,3,"[2, 8, 8]",1s2 2s2 2p6 3s2 3p6,[Ne] 3s2 3p6,-96.0,,"[1520.6, 2665.8, 3931, 5771, 7238, 8781, 11995, 13842, 40760, 46186, 52002, 59653, 66199, 72918, 82473, 88576, 397605, 427066]",80d1e3,p,Vial of glowing ultrapure argon. Original size in cm: 1 x 5,https://upload.wikimedia.org/wikipedia/commons/5/53/Argon-glow.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/argon.php"
Potassium,silvery gray,39.09831,1032.0,alkali metal,0.862,Humphry Davy,336.7,29.6,,19,4,1,Solid,https://en.wikipedia.org/wiki/Potassium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_019_potassium/element_019_potassium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_019_potassium/element_019_potassium.glb,https://en.wikipedia.org/wiki/File:Potassium_Spectrum.jpg,"Potassium is a chemical element with symbol K (derived from Neo-Latin, kalium) and atomic number 19. It was first isolated from potash, the ashes of plants, from which its name is derived. In the Periodic table, potassium is one of seven elements in column (group) 1 (alkali metals):they all have a single valence electron in their outer electron shell, which they readily give up to create an atom with a positive charge - a cation, and combine with anions to form salts.",K,1,4,1,4,"[2, 8, 8, 1]",1s2 2s2 2p6 3s2 3p6 4s1,[Ar] 4s1,48.383,0.82,"[418.8, 3052, 4420, 5877, 7975, 9590, 11343, 14944, 16963.7, 48610, 54490, 60730, 68950, 75900, 83080, 93400, 99710, 444880, 476063]",8f40d4,s,Potassium Pieces,https://upload.wikimedia.org/wikipedia/commons/b/b3/Potassium.JPG,"Dnn87, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons"
Calcium,,40.0784,1757.0,alkaline earth metal,1.55,Humphry Davy,1115.0,25.929,,20,4,2,Solid,https://en.wikipedia.org/wiki/Calcium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_020_calcium/element_020_calcium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_020_calcium/element_020_calcium.glb,https://en.wikipedia.org/wiki/File:Calcium_Spectrum.png,"Calcium is a chemical element with symbol Ca and atomic number 20. Calcium is a soft gray alkaline earth metal, fifth-most-abundant element by mass in the Earth's crust. The ion Ca2+ is also the fifth-most-abundant dissolved ion in seawater by both molarity and mass, after sodium, chloride, magnesium, and sulfate.",Ca,2,4,2,4,"[2, 8, 8, 2]",1s2 2s2 2p6 3s2 3p6 4s2,[Ar] 4s2,2.37,1.0,"[589.8, 1145.4, 4912.4, 6491, 8153, 10496, 12270, 14206, 18191, 20385, 57110, 63410, 70110, 78890, 86310, 94000, 104900, 111711, 494850, 527762]",3dff00,s,"Calcium Grains, grain size about 1 mm",https://upload.wikimedia.org/wikipedia/commons/7/72/Calcium.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/calcium.php"
Scandium,silvery white,44.9559085,3109.0,transition metal,2.985,Lars Fredrik Nilson,1814.0,25.52,,21,4,3,Solid,https://en.wikipedia.org/wiki/Scandium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_021_scandium/element_021_scandium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_021_scandium/element_021_scandium.glb,,"Scandium is a chemical element with symbol Sc and atomic number 21. A silvery-white metallic d-block element, it has historically been sometimes classified as a rare earth element, together with yttrium and the lanthanoids. It was discovered in 1879 by spectral analysis of the minerals euxenite and gadolinite from Scandinavia.",Sc,3,4,17,4,"[2, 8, 9, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d1,[Ar] 3d1 4s2,18.0,1.36,"[633.1, 1235, 2388.6, 7090.6, 8843, 10679, 13310, 15250, 17370, 21726, 24102, 66320, 73010, 80160, 89490, 97400, 105600, 117000, 124270, 547530, 582163]",e6e6e6,d,Crystal of Scandium. About 1g,https://upload.wikimedia.org/wikipedia/commons/f/f5/Scandium%2C_Sc.jpg,"JanDerChemiker, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
Titanium,silvery grey-white metallic,47.8671,3560.0,transition metal,4.506,William Gregor,1941.0,25.06,Martin Heinrich Klaproth,22,4,4,Solid,https://en.wikipedia.org/wiki/Titanium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_022_titanium/element_022_titanium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_022_titanium/element_022_titanium.glb,,"Titanium is a chemical element with symbol Ti and atomic number 22. It is a lustrous transition metal with a silver color, low density and high strength. It is highly resistant to corrosion in sea water, aqua regia and chlorine.",Ti,4,4,18,4,"[2, 8, 10, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d2,[Ar] 3d2 4s2,7.289,1.54,"[658.8, 1309.8, 2652.5, 4174.6, 9581, 11533, 13590, 16440, 18530, 20833, 25575, 28125, 76015, 83280, 90880, 100700, 109100, 117800, 129900, 137530, 602930, 639294]",bfc2c7,d,"Titanium Crystal made with the van Arkel-de Booer Process. 87 grams, Orginial size in cm: 2.5 x 4",https://upload.wikimedia.org/wikipedia/commons/e/ec/Titanium.jpg,"Hi-Res Images ofChemical Elements, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/titanium.php"
Vanadium,blue-silver-grey metal,50.94151,3680.0,transition metal,6.0,Andrés Manuel del Río,2183.0,24.89,Isotopes of vanadium,23,4,5,Solid,https://en.wikipedia.org/wiki/Vanadium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_023_vanadium/element_023_vanadium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_023_vanadium/element_023_vanadium.glb,,"Vanadium is a chemical element with symbol V and atomic number 23. It is a hard, silvery grey, ductile and malleable transition metal. The element is found only in chemically combined form in nature, but once isolated artificially, the formation of an oxide layer stabilizes the free metal somewhat against further oxidation.",V,5,4,19,4,"[2, 8, 11, 2]",1s2 2s2 2p6 3s2 3p6 4s2 3d3,[Ar] 3d3 4s2,50.911,1.63,"[650.9, 1414, 2830, 4507, 6298.7, 12363, 14530, 16730, 19860, 22240, 24670, 29730, 32446, 86450, 94170, 102300, 112700, 121600, 130700, 143400, 151440, 661050, 699144]",a6a6ab,d,Pieces of Pure Vanadium with Oxide Layer,https://upload.wikimedia.org/wikipedia/commons/0/0a/Vanadium-pieces.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/vanadium.php"
Chromium,silvery metallic,51.99616,2944.0,transition metal,7.19,Louis Nicolas Vauquelin,2180.0,23.35,,24,4,6,Solid,https://en.wikipedia.org/wiki/Chromium,https://storage.googleapis.com/search-ar-edu/periodic-table/element_024_chromium/element_024_chromium_srp_th.png,https://storage.googleapis.com/search-ar-edu/periodic-table/element_024_chromium/element_024_chromium.glb,,"Chromium is a chemical element with symbol Cr and atomic number 24. It is the first element in Group 6. It is a steely-gray, lustrous, hard and brittle metal which takes a high polish, resists tarnishing, and has a high melting point.",Cr,6,4,20,4,"[2, 8, 13, 1]",1s2 2s2 2p6 3s2 3p6 4s1 3d5,[Ar] 3d5 4s1,65.21,1.66,"[652.9, 1590.6, 2987, 4743, 6702, 8744.9, 15455, 17820, 20190, 23580, 26130, 28750, 34230, 37066, 97510, 105800, 114300, 125300, 134700, 144300, 157700, 166090, 721870, 761733]",8a99c7,d,Piece of Chromium Metal,https://upload.wikimedia.org/wikipedia/commons/a/a1/Chromium.jpg,"Jurii, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons, source: https://images-of-elements.com/chromium.php"
